,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket
0,1,0,3,23,0,22.0,1,0,9
1,2,1,1,51,1,38.0,1,0,8
2,3,1,3,22,1,26.0,0,0,16
3,4,1,1,44,1,35.0,1,0,6
4,5,0,3,24,0,35.0,0,0,6
5,6,0,3,16,0,,0,0,6
6,7,0,1,23,0,54.0,0,0,5
7,8,0,3,30,0,2.0,3,1,6
8,9,1,3,49,1,27.0,0,2,6
9,10,1,2,35,1,14.0,1,0,6
10,11,1,3,31,1,4.0,1,1,7
11,12,1,1,24,1,58.0,0,0,6
12,13,0,3,30,0,20.0,0,0,9
13,14,0,3,27,0,39.0,1,5,6
14,15,0,3,36,1,14.0,0,0,6
15,16,1,2,32,1,55.0,0,0,6
16,17,0,3,20,0,2.0,4,1,6
17,18,1,2,28,0,,0,0,6
18,19,0,3,55,1,31.0,1,0,6
19,20,1,3,23,1,,0,0,4
20,21,0,2,20,0,35.0,0,0,6
21,22,1,2,21,0,34.0,0,0,6
22,23,1,3,27,1,15.0,0,0,6
23,24,1,1,28,0,28.0,0,0,6
24,25,0,3,29,1,8.0,3,1,6
25,26,1,3,57,1,38.0,1,5,6
26,27,0,3,23,0,,0,0,4
27,28,0,1,30,0,19.0,3,2,5
28,29,1,3,29,1,,0,0,6
29,30,0,3,19,0,,0,0,6
30,31,0,1,24,0,40.0,0,0,8
31,32,1,1,46,1,,1,0,8
32,33,1,3,24,1,,0,0,6
33,34,0,2,21,0,66.0,0,0,10
34,35,0,1,23,0,28.0,1,0,8
35,36,0,1,30,0,42.0,1,0,6
36,37,1,3,16,0,,0,0,4
37,38,0,3,24,0,21.0,0,0,10
38,39,0,3,34,1,18.0,2,0,6
39,40,1,3,27,1,14.0,1,0,4
40,41,0,3,46,1,40.0,1,0,4
41,42,0,2,56,1,27.0,1,0,5
42,43,0,3,19,0,,0,0,6
43,44,1,2,40,1,3.0,1,2,13
44,45,1,3,29,1,19.0,0,0,6
45,46,0,3,24,0,,0,0,15
46,47,0,3,17,0,,1,0,6
47,48,1,3,25,1,,0,0,5
48,49,0,3,19,0,,2,0,4
49,50,0,3,45,1,18.0,1,0,6
50,51,0,3,26,0,7.0,4,1,7
51,52,0,3,28,0,21.0,0,0,10
52,53,1,1,40,1,49.0,1,0,8
53,54,1,2,50,1,29.0,1,0,4
54,55,0,1,30,0,65.0,0,1,6
55,56,1,1,17,0,,0,0,5
56,57,1,2,17,1,21.0,0,0,10
57,58,0,3,19,0,28.5,0,0,4
58,59,1,2,28,1,5.0,1,2,10
59,60,0,3,34,0,11.0,5,2,7
60,61,0,3,21,0,22.0,0,0,4
61,62,1,1,19,1,38.0,0,0,6
62,63,0,1,27,0,45.0,1,0,5
63,64,0,3,21,0,4.0,3,2,6
64,65,0,1,21,0,,0,0,8
65,66,1,3,24,0,,1,1,4
66,67,1,2,28,1,29.0,0,0,10
67,68,0,3,24,0,19.0,0,0,9
68,69,1,3,31,1,17.0,4,2,7
69,70,0,3,17,0,26.0,2,0,6
70,71,0,2,26,0,32.0,0,0,10
71,72,0,3,26,1,16.0,5,2,7
72,73,0,2,20,0,21.0,0,0,12
73,74,0,3,27,0,26.0,1,0,4
74,75,1,3,13,0,32.0,0,0,4
75,76,0,3,23,0,25.0,0,0,6
76,77,0,3,17,0,,0,0,6
77,78,0,3,24,0,,0,0,6
78,79,1,2,29,0,0.83,0,2,6
79,80,1,3,24,1,30.0,0,0,6
80,81,0,3,20,0,22.0,0,0,6
81,82,1,3,27,0,29.0,0,0,6
82,83,1,3,30,1,,0,0,6
83,84,0,1,23,0,28.0,0,0,6
84,85,1,2,19,1,17.0,0,0,10
85,86,1,3,55,1,33.0,3,0,7
86,87,0,3,22,0,16.0,1,3,10
87,88,0,3,29,0,,0,0,15
88,89,1,1,26,1,23.0,3,2,5
89,90,0,3,22,0,24.0,0,0,6
90,91,0,3,20,0,29.0,0,0,6
91,92,0,3,26,0,20.0,0,0,6
92,93,0,1,27,0,46.0,1,0,11
93,94,0,3,23,0,26.0,1,2,9
94,95,0,3,17,0,59.0,0,0,6
95,96,0,3,27,0,,0,0,6
96,97,0,1,25,0,71.0,0,0,8
97,98,1,1,31,0,23.0,0,1,8
98,99,1,2,36,1,34.0,0,1,6
99,100,0,2,17,0,34.0,1,0,6
100,101,0,3,23,1,28.0,0,0,6
101,102,0,3,32,0,,0,0,6
102,103,0,1,25,0,21.0,0,1,5
103,104,0,3,26,0,33.0,0,0,4
104,105,0,3,30,0,37.0,2,0,7
105,106,0,3,21,0,28.0,0,0,6
106,107,1,3,32,1,21.0,0,0,6
107,108,1,3,22,0,,0,0,6
108,109,0,3,15,0,38.0,0,0,6
109,110,1,3,19,1,,1,0,6
110,111,0,1,30,0,47.0,0,0,6
111,112,0,3,20,1,14.5,1,0,4
112,113,0,3,22,0,22.0,0,0,6
113,114,0,3,23,1,20.0,1,0,4
114,115,0,3,21,1,17.0,0,0,4
115,116,0,3,21,0,21.0,0,0,17
116,117,0,3,20,0,70.5,0,0,6
117,118,0,2,31,0,29.0,1,0,5
118,119,0,1,24,0,24.0,0,1,8
119,120,0,3,33,1,2.0,4,2,6
120,121,0,2,27,0,21.0,2,0,12
121,122,0,3,26,0,,0,0,9
122,123,0,2,20,0,32.5,1,0,6
123,124,1,2,19,1,32.5,0,0,5
124,125,0,1,27,0,54.0,0,1,5
125,126,1,3,28,0,12.0,1,0,4
126,127,0,3,19,0,,0,0,6
127,128,1,3,25,0,24.0,0,0,7
128,129,1,3,17,1,,1,1,4
129,130,0,3,18,0,45.0,0,0,6
130,131,0,3,20,0,33.0,0,0,6
131,132,0,3,30,0,20.0,0,0,18
132,133,0,3,46,1,47.0,1,0,9
133,134,1,2,45,1,29.0,1,0,6
134,135,0,2,30,0,25.0,0,0,10
135,136,0,2,18,0,23.0,0,0,13
136,137,1,1,28,1,19.0,0,2,5
137,138,0,1,27,0,37.0,1,0,6
138,139,0,3,19,0,16.0,0,0,4
139,140,0,1,18,0,24.0,0,0,8
140,141,0,3,29,1,,0,2,4
141,142,1,3,24,1,22.0,0,0,6
142,143,1,3,52,1,24.0,1,0,16
143,144,0,3,19,0,19.0,0,0,6
144,145,0,2,26,0,18.0,0,0,6
145,146,0,2,28,0,19.0,1,1,10
146,147,1,3,44,0,27.0,0,0,6
147,148,0,3,32,1,9.0,2,2,10
148,149,0,2,40,0,36.5,0,2,6
149,150,0,2,33,0,42.0,0,0,6
150,151,0,2,26,0,51.0,0,0,11
151,152,1,1,33,1,22.0,1,0,6
152,153,0,3,16,0,55.5,0,0,10
153,154,0,3,31,0,40.5,0,2,8
154,155,0,3,21,0,,0,0,9
155,156,0,1,27,0,51.0,0,1,8
156,157,1,3,32,1,16.0,0,0,5
157,158,0,3,15,0,30.0,0,0,15
158,159,0,3,19,0,,0,0,6
159,160,0,3,26,0,,8,2,8
160,161,0,3,24,0,44.0,0,1,6
161,162,1,2,50,1,40.0,0,0,10
162,163,0,3,26,0,26.0,0,0,6
163,164,0,3,15,0,17.0,0,0,6
164,165,0,3,28,0,1.0,4,1,7
165,166,1,3,47,0,9.0,0,2,6
166,167,1,1,38,1,,0,1,6
167,168,0,3,47,1,45.0,1,4,6
168,169,0,1,19,0,,0,0,8
169,170,0,3,13,0,28.0,0,0,4
170,171,0,1,25,0,61.0,0,0,6
171,172,0,3,20,0,4.0,4,1,6
172,173,1,3,28,1,1.0,1,1,6
173,174,0,3,25,0,21.0,0,0,17
174,175,0,1,23,0,56.0,0,0,5
175,176,0,3,22,0,18.0,1,1,6
176,177,0,3,29,0,,3,1,4
177,178,0,1,26,1,50.0,0,0,8
178,179,0,2,18,0,30.0,0,0,6
179,180,0,3,19,0,36.0,0,0,4
180,181,0,3,28,1,,8,2,8
181,182,0,2,16,0,,0,0,13
182,183,0,3,37,0,9.0,4,2,6
183,184,1,2,25,0,1.0,2,1,6
184,185,1,3,35,1,4.0,0,2,6
185,186,0,1,21,0,,0,0,6
186,187,1,3,47,1,,1,0,6
187,188,1,1,45,0,45.0,0,0,6
188,189,0,3,16,0,40.0,1,1,6
189,190,0,3,19,0,36.0,0,0,6
190,191,1,2,19,1,32.0,0,0,6
191,192,0,2,21,0,19.0,0,0,5
192,193,1,3,47,1,19.0,1,0,6
193,194,1,2,26,0,3.0,1,1,6
194,195,1,1,41,1,44.0,0,0,8
195,196,1,1,20,1,58.0,0,0,8
196,197,0,3,19,0,,0,0,6
197,198,0,3,32,0,42.0,0,1,4
198,199,1,3,32,1,,0,0,6
199,200,0,2,38,1,24.0,0,0,6
200,201,0,3,30,0,28.0,0,0,6
201,202,0,3,19,0,,8,2,8
202,203,0,3,26,0,34.0,0,0,7
203,204,0,3,20,0,45.5,0,0,4
204,205,1,3,24,0,18.0,0,0,8
205,206,0,3,26,1,2.0,0,1,6
206,207,0,3,26,0,32.0,1,0,7
207,208,1,3,27,0,26.0,0,0,4
208,209,1,3,25,1,16.0,0,0,6
209,210,1,1,16,0,40.0,0,0,6
210,211,0,3,14,0,24.0,0,0,18
211,212,1,2,26,1,35.0,0,0,12
212,213,0,3,22,0,22.0,0,0,9
213,214,0,2,27,0,30.0,0,0,6
214,215,0,3,19,0,,1,0,6
215,216,1,1,23,1,31.0,1,0,5
216,217,1,3,22,1,27.0,0,0,16
217,218,0,2,28,0,42.0,1,0,6
218,219,1,1,21,1,32.0,0,0,5
219,220,0,2,18,0,30.0,0,0,9
220,221,1,3,30,0,16.0,0,0,15
221,222,0,2,20,0,27.0,0,0,6
222,223,0,3,23,0,51.0,0,0,5
223,224,0,3,20,0,,0,0,6
224,225,1,1,28,0,38.0,1,0,5
225,226,0,3,28,0,22.0,0,0,7
226,227,1,2,25,0,19.0,0,0,9
227,228,0,3,31,0,20.5,0,0,9
228,229,0,2,25,0,18.0,0,0,6
229,230,0,3,23,1,,3,1,4
230,231,1,1,44,1,35.0,1,0,5
231,232,0,3,24,0,29.0,0,0,6
232,233,0,2,25,0,59.0,0,0,6
233,234,1,3,30,1,5.0,4,2,6
234,235,0,2,33,0,24.0,0,0,10
235,236,0,3,28,1,,0,0,10
236,237,0,2,17,0,44.0,1,0,5
237,238,1,2,32,1,8.0,0,2,10
238,239,0,2,31,0,19.0,0,0,5
239,240,0,2,22,0,33.0,0,0,10
240,241,0,3,21,1,,1,0,4
241,242,1,3,30,1,,1,0,6
242,243,0,2,31,0,29.0,0,0,11
243,244,0,3,29,0,22.0,0,0,17
244,245,0,3,20,0,30.0,0,0,4
245,246,0,1,27,0,44.0,2,0,5
246,247,0,3,37,1,25.0,0,0,6
247,248,1,2,31,1,24.0,0,2,6
248,249,1,1,29,0,37.0,1,1,5
249,250,0,2,29,0,54.0,1,0,6
250,251,0,3,22,0,,0,0,6
251,252,0,3,42,1,29.0,1,1,6
252,253,0,1,25,0,62.0,0,0,6
253,254,0,3,24,0,30.0,1,0,9
254,255,0,3,40,1,41.0,0,2,6
255,256,1,3,39,1,29.0,0,2,4
256,257,1,1,30,1,,0,0,8
257,258,1,1,20,1,30.0,0,0,6
258,259,1,1,16,1,35.0,0,0,8
259,260,1,2,27,1,50.0,0,1,6
260,261,0,3,17,0,,0,0,6
261,262,1,3,33,0,3.0,4,2,6
262,263,0,1,17,0,52.0,1,1,6
263,264,0,1,21,0,40.0,0,0,6
264,265,0,3,18,1,,0,0,6
265,266,0,2,17,0,36.0,0,0,10
266,267,0,3,25,0,16.0,4,1,7
267,268,1,3,24,0,25.0,1,0,6
268,269,1,1,45,1,58.0,0,1,8
269,270,1,1,22,1,35.0,0,0,8
270,271,0,1,21,0,,0,0,6
271,272,1,3,28,0,25.0,0,0,4
272,273,1,2,41,1,41.0,0,1,6
273,274,0,1,21,0,37.0,0,1,8
274,275,1,3,26,1,,0,0,6
275,276,1,1,33,1,63.0,1,0,5
276,277,0,3,33,1,45.0,0,0,6
277,278,0,2,27,0,,0,0,6
278,279,0,3,18,0,7.0,4,1,6
279,280,1,3,32,1,35.0,1,1,9
280,281,0,3,16,0,65.0,0,0,6
281,282,0,3,32,0,28.0,0,0,6
282,283,0,3,25,0,16.0,0,0,6
283,284,1,3,26,0,19.0,0,0,10
284,285,0,1,26,0,,0,0,6
285,286,0,3,19,0,33.0,0,0,6
286,287,1,3,23,0,30.0,0,0,6
287,288,0,3,20,0,22.0,0,0,6
288,289,1,2,20,0,42.0,0,0,6
289,290,1,3,20,1,22.0,0,0,6
290,291,1,1,28,1,26.0,0,0,5
291,292,1,1,39,1,19.0,1,0,5
292,293,0,2,22,0,36.0,0,0,13
293,294,0,3,19,1,24.0,0,0,6
294,295,0,3,16,0,24.0,0,0,6
295,296,0,1,17,0,,0,0,8
296,297,0,3,18,0,23.5,0,0,4
297,298,0,1,28,1,2.0,1,2,6
298,299,1,1,21,0,,0,0,5
299,300,1,1,47,1,50.0,0,1,8
300,301,1,3,40,1,,0,0,4
301,302,1,3,18,0,,2,0,6
302,303,0,3,31,0,19.0,0,0,4
303,304,1,2,19,1,,0,0,6
304,305,0,3,33,0,,0,0,8
305,306,1,1,30,0,0.92,1,2,6
306,307,1,1,23,1,,0,0,5
307,308,1,1,82,1,17.0,1,0,8
308,309,0,2,19,0,30.0,1,0,9
309,310,1,1,30,1,30.0,0,0,8
310,311,1,1,30,1,24.0,0,0,5
311,312,1,1,26,1,18.0,2,2,8
312,313,0,2,37,1,26.0,1,1,6
313,314,0,3,22,0,28.0,0,0,6
314,315,0,2,18,0,43.0,1,1,12
315,316,1,3,31,1,26.0,0,0,6
316,317,1,2,35,1,24.0,1,0,6
317,318,0,2,20,0,54.0,0,0,5
318,319,1,1,24,1,31.0,0,2,5
319,320,1,1,56,1,40.0,1,1,5
320,321,0,3,18,0,22.0,0,0,9
321,322,0,3,16,0,27.0,0,0,6
322,323,1,2,25,1,30.0,0,0,6
323,324,1,2,51,1,22.0,1,1,6
324,325,0,3,24,0,,8,2,8
325,326,1,1,24,1,36.0,0,0,8
326,327,0,3,25,0,61.0,0,0,6
327,328,1,2,23,1,36.0,0,0,5
328,329,1,3,46,1,31.0,1,1,6
329,330,1,1,28,1,16.0,0,1,6
330,331,1,3,18,1,,2,0,6
331,332,0,1,19,0,45.5,0,0,6
332,333,0,1,25,0,38.0,0,1,8
333,334,0,3,31,0,16.0,2,0,6
334,335,1,1,50,1,,1,0,8
335,336,0,3,18,0,,0,0,6
336,337,0,1,25,0,29.0,1,0,6
337,338,1,1,31,1,41.0,0,0,5
338,339,1,3,21,0,45.0,0,0,4
339,340,0,1,28,0,45.0,0,0,6
340,341,1,2,30,0,2.0,1,1,6
341,342,1,1,30,1,24.0,3,2,5
342,343,0,2,26,0,28.0,0,0,6
343,344,0,2,42,0,25.0,0,0,6
344,345,0,2,23,0,36.0,0,0,6
345,346,1,2,29,1,24.0,0,0,6
346,347,1,2,25,1,40.0,0,0,5
347,348,1,3,41,1,,1,0,6
348,349,1,3,38,0,3.0,1,1,10
349,350,0,3,16,0,42.0,0,0,6
350,351,0,3,22,0,23.0,0,0,4
351,352,0,1,38,0,,0,0,6
352,353,0,3,18,0,15.0,1,1,4
353,354,0,3,25,0,25.0,1,0,6
354,355,0,3,17,0,,0,0,4
355,356,0,3,27,0,28.0,0,0,6
356,357,1,1,27,1,22.0,0,1,6
357,358,0,2,25,1,38.0,0,0,6
358,359,1,3,20,1,,0,0,6
359,360,1,3,33,1,,0,0,6
360,361,0,3,18,0,40.0,1,4,6
361,362,0,2,25,0,29.0,1,0,13
362,363,0,3,31,1,45.0,0,1,4
363,364,0,3,15,0,35.0,0,0,18
364,365,0,3,19,0,,1,0,6
365,366,0,3,30,0,30.0,0,0,6
366,367,1,1,48,1,60.0,1,0,6
367,368,1,3,30,1,,0,0,4
368,369,1,3,19,1,,0,0,5
369,370,1,1,29,1,24.0,0,0,8
370,371,1,1,27,0,25.0,1,0,5
371,372,0,3,25,0,18.0,1,0,7
372,373,0,3,26,0,19.0,0,0,6
373,374,0,1,19,0,22.0,0,0,8
374,375,0,3,26,1,3.0,3,1,6
375,376,1,1,37,1,,1,0,8
376,377,1,3,31,1,22.0,0,0,6
377,378,0,1,25,0,27.0,0,2,6
378,379,0,3,19,0,20.0,0,0,4
379,380,0,3,27,0,19.0,0,0,6
380,381,1,1,21,1,42.0,0,0,8
381,382,1,3,27,1,1.0,0,2,4
382,383,0,3,18,0,32.0,0,0,17
383,384,1,1,51,1,35.0,1,0,6
384,385,0,3,22,0,,0,0,6
385,386,0,2,25,0,18.0,0,0,12
386,387,0,3,31,0,1.0,5,2,7
387,388,1,2,16,1,36.0,0,0,5
388,389,0,3,20,0,,0,0,6
389,390,1,2,21,1,17.0,0,0,7
390,391,1,1,26,0,36.0,1,2,6
391,392,1,3,22,0,21.0,0,0,6
392,393,0,3,28,0,28.0,2,0,7
393,394,1,1,22,1,23.0,1,0,5
394,395,1,3,51,1,24.0,0,2,7
395,396,0,3,19,0,22.0,0,0,6
396,397,0,3,19,1,31.0,0,0,6
397,398,0,2,23,0,46.0,0,0,5
398,399,0,2,16,0,23.0,0,0,6
399,400,1,2,32,1,28.0,0,0,6
400,401,1,3,18,0,39.0,0,0,17
401,402,0,3,15,0,26.0,0,0,6
402,403,0,3,24,1,21.0,1,0,4
403,404,0,3,30,0,28.0,1,0,16
404,405,0,3,23,1,20.0,0,0,6
405,406,0,2,18,0,34.0,1,0,5
406,407,0,3,32,0,51.0,0,0,6
407,408,1,2,30,0,3.0,1,1,5
408,409,0,3,33,0,21.0,0,0,6
409,410,0,3,18,1,,3,1,4
410,411,0,3,18,0,,0,0,6
411,412,0,3,15,0,,0,0,6
412,413,1,1,22,1,33.0,1,0,5
413,414,0,2,30,0,,0,0,6
414,415,1,3,25,0,44.0,0,0,17
415,416,0,3,39,1,,0,0,6
416,417,1,2,47,1,34.0,1,1,5
417,418,1,2,29,1,18.0,0,2,6
418,419,0,2,26,0,30.0,0,0,5
419,420,0,3,25,1,10.0,0,2,6
420,421,0,3,22,0,,0,0,6
421,422,0,3,19,0,21.0,0,0,10
422,423,0,3,18,0,29.0,0,0,6
423,424,0,3,54,1,28.0,1,1,6
424,425,0,3,27,0,18.0,1,1,6
425,426,0,3,22,0,,0,0,10
426,427,1,2,43,1,28.0,1,0,4
427,428,1,2,67,1,19.0,0,0,6
428,429,0,3,16,0,,0,0,6
429,430,1,3,34,0,32.0,0,0,17
430,431,1,1,41,0,28.0,0,0,6
431,432,1,3,49,1,,1,0,6
432,433,1,2,51,1,42.0,1,0,10
433,434,0,3,26,0,17.0,0,0,17
434,435,0,1,25,0,50.0,1,0,5
435,436,1,1,25,1,14.0,1,2,6
436,437,0,3,36,1,21.0,2,2,10
437,438,1,2,37,1,24.0,2,3,5
438,439,0,1,17,0,64.0,1,4,5
439,440,0,2,38,0,31.0,0,0,10
440,441,1,2,43,1,45.0,1,1,12
441,442,0,3,15,0,20.0,0,0,6
442,443,0,3,25,0,25.0,1,0,6
443,444,1,2,25,1,28.0,0,0,6
444,445,1,3,33,0,,0,0,5
445,446,1,1,25,0,4.0,0,2,5
446,447,1,2,33,1,13.0,0,1,6
447,448,1,1,27,0,34.0,0,0,6
